,category_list,main_sector
159,Coworking,"Social, Finance, Analytics, Advertising"
160,Craft Beer,Entertainment
161,Creative,Entertainment
162,Creative Industries,Entertainment
163,Credit,"Social, Finance, Analytics, Advertising"
164,Credit Cards,"Social, Finance, Analytics, Advertising"
165,CRM,"Social, Finance, Analytics, Advertising"
166,Crowdfunding,"Social, Finance, Analytics, Advertising"
167,Crowdsourcing,"Social, Finance, Analytics, Advertising"
168,Curated Web,"News, Search and Messaging"
169,Custom Retail,"Social, Finance, Analytics, Advertising"
170,Customer Service,"Social, Finance, Analytics, Advertising"
171,Customer Support Tools,"Social, Finance, Analytics, Advertising"
172,Cyber,"Social, Finance, Analytics, Advertising"
173,Cyber Security,"Social, Finance, Analytics, Advertising"
174,Data Center Automation,"Social, Finance, Analytics, Advertising"
175,Data Center Infrastructure,"Social, Finance, Analytics, Advertising"
176,Data Centers,"Social, Finance, Analytics, Advertising"
177,Data Integration,"Social, Finance, Analytics, Advertising"
178,Data Mining,"Social, Finance, Analytics, Advertising"
179,Data Privacy,"Social, Finance, Analytics, Advertising"
180,Data Security,"Social, Finance, Analytics, Advertising"
181,Data Visualization,"Social, Finance, Analytics, Advertising"
182,Databases,"Social, Finance, Analytics, Advertising"
183,Debt Collecting,"Social, Finance, Analytics, Advertising"
184,Defense,Manufacturing
185,Delivery,"News, Search and Messaging"
186,Demographies,"News, Search and Messaging"
187,Dental,Health
188,Design,Automotive & Sports
189,Designers,Automotive & Sports
190,Developer APIs,"Social, Finance, Analytics, Advertising"
191,Developer Tools,"Social, Finance, Analytics, Advertising"
192,Development Platforms,"Social, Finance, Analytics, Advertising"
193,Diabetes,Health
194,Diagnostics,Health
195,Dietary Supplements,Health
196,Digital Entertainment,Entertainment
197,Digital Media,Entertainment
198,Digital Rights Management,Entertainment
199,Digital Signage,Entertainment
200,Direct Advertising,"Social, Finance, Analytics, Advertising"
201,Direct Marketing,"News, Search and Messaging"
202,Direct Sales,"News, Search and Messaging"
203,Discounts,"Social, Finance, Analytics, Advertising"
204,Displays,Manufacturing
205,Disruptive Models,Cleantech / Semiconductors
206,Distribution,Others
207,Distributors,Others
208,DIY,Others
209,Doctors,Health
210,Document Management,Others
211,DOD/Military,Manufacturing
212,Domains,"News, Search and Messaging"
213,Drones,Automotive & Sports
214,E-Books,Entertainment
215,E-Commerce,Others
216,E-Commerce Platforms,Others
217,Early-Stage Technology,Cleantech / Semiconductors
218,EBooks,Entertainment
219,EDA Tools,Others
220,Ediscovery,Others
221,EdTech,Others
222,Education,Others
223,Educational Games,Entertainment
224,Edutainment,Entertainment
225,Elder Care,Health
226,Electric Vehicles,Automotive & Sports
227,Electrical Distribution,Manufacturing
228,Electronic Health Records,Health
229,Electronics,Manufacturing
230,Email,"News, Search and Messaging"
231,Email Marketing,"Social, Finance, Analytics, Advertising"
232,Email Newsletters,"Social, Finance, Analytics, Advertising"
233,Embedded Hardware and Software,Manufacturing
234,Emerging Markets,Others
235,Employer Benefits Programs,"Social, Finance, Analytics, Advertising"
236,Employment,Others
237,Energy,Cleantech / Semiconductors
238,Energy Efficiency,Cleantech / Semiconductors
239,Energy IT,Cleantech / Semiconductors
240,Energy Management,Cleantech / Semiconductors
241,Energy Storage,Cleantech / Semiconductors
242,Engineering Firms,Others
243,Enterprise 2.0,Others
244,Enterprise Application,Others
245,Enterprise Purchasing,"Social, Finance, Analytics, Advertising"
246,Enterprise Resource Planning,Others
247,Enterprise Search,"News, Search and Messaging"
248,Enterprise Security,Others
249,Enterprise Software,Others
250,Enterprises,Others
251,Entertainment,Entertainment
252,Entertainment Industry,Entertainment
253,Entrepreneur,Others
254,Environmental Innovation,Cleantech / Semiconductors
255,Estimation and Quoting,"Social, Finance, Analytics, Advertising"
256,Event Management,Entertainment
257,Events,Entertainment
258,Exercise,Health
259,Eyewear,Health
260,Face Recognition,"Social, Finance, Analytics, Advertising"
261,Facebook Applications,"Social, Finance, Analytics, Advertising"
262,Families,Others
263,Fantasy Sports,Entertainment
264,Farmers Market,Manufacturing
265,Farming,Manufacturing
266,Fashion,Entertainment
267,Fertility,Cleantech / Semiconductors
268,Field Support Services,Others
269,File Sharing,Others
270,Film,Entertainment
271,Film Distribution,Entertainment
272,Film Production,Entertainment
273,Finance,"Social, Finance, Analytics, Advertising"
274,Finance Technology,"Social, Finance, Analytics, Advertising"
275,Financial Exchanges,"Social, Finance, Analytics, Advertising"
276,Financial Services,"Social, Finance, Analytics, Advertising"
277,FinTech,"Social, Finance, Analytics, Advertising"
278,Fitness,Health
279,Flash Sales,Others
280,Flash Storage,Others
281,Fleet Management,Others
282,Flowers,Others
283,Fmcg,Manufacturing
284,Food Processing,Manufacturing
285,Forums,"News, Search and Messaging"
286,Fraud Detection,"Social, Finance, Analytics, Advertising"
287,Freelancers,Others
288,Freemium,"Social, Finance, Analytics, Advertising"
289,FreetoPlay Gaming,Entertainment
290,Fruit,Others
291,Fuel Cells,Cleantech / Semiconductors
292,Fuels,Automotive & Sports
293,Funeral Industry,Cleantech / Semiconductors
294,Furniture,Manufacturing
295,Gadget,Manufacturing
296,Gambling,Entertainment
297,Game,Entertainment
298,Game Mechanics,Entertainment
299,Games,Entertainment
300,Gamification,Entertainment
301,Gas,Cleantech / Semiconductors
302,Gay & Lesbian,Others
303,General Public Worldwide,Others
304,Genetic Testing,Health
305,Geospatial,Others
306,Gift Card,Others
307,Gift Exchange,Others
308,Gift Registries,Others
309,Gold,"Social, Finance, Analytics, Advertising"
310,Governance,Others
311,Government Innovation,Others
312,Governments,Others
313,Gps,"News, Search and Messaging"
314,Graphics,"News, Search and Messaging"
315,Green,Cleantech / Semiconductors
316,Green Consumer Goods,Cleantech / Semiconductors
317,Groceries,Manufacturing
318,Group Buying,"Social, Finance, Analytics, Advertising"
319,Group SMS,"News, Search and Messaging"
320,Guides,Others
321,Handmade,Manufacturing
322,Hardware,Manufacturing
323,Hardware + Software,Manufacturing
324,Health and Insurance,Health
325,Health and Wellness,Health
326,Health Care,Health
327,Health Care Information Technology,Health
328,Health Diagnostics,Health
329,Health Services Industry,Health
330,Healthcare Services,Health
331,Heavy Industry,Automotive & Sports
332,Hedge Funds,"Social, Finance, Analytics, Advertising"
333,High School Students,Others
334,High Schools,Others
335,High Tech,Others
336,Home & Garden,Cleantech / Semiconductors
337,Home Automation,Cleantech / Semiconductors
338,Home Decor,Cleantech / Semiconductors
339,Home Owners,Others
340,Home Renovation,Others
341,Homeland Security,Others
342,Homeless Shelter,Others
343,Hospitality,Others
344,Hospitals,Health
345,Hotels,Entertainment
346,Human Computer Interaction,Others
347,Human Resource Automation,Others
348,Human Resources,Others
349,Humanitarian,Others
350,IaaS,Others
351,ICT,Others
352,Identity,Others
353,Identity Management,"Social, Finance, Analytics, Advertising"
354,Image Recognition,"Social, Finance, Analytics, Advertising"
355,Impact Investing,"Social, Finance, Analytics, Advertising"
356,In-Flight Entertainment,Entertainment
357,Incentives,"Social, Finance, Analytics, Advertising"
358,Incubators,"Social, Finance, Analytics, Advertising"
359,Independent Music Labels,Entertainment
360,Independent Pharmacies,Health
361,Indians,Others
362,Indoor Positioning,Others
363,Industrial,Manufacturing
364,Industrial Automation,Automotive & Sports
365,Information Security,"Social, Finance, Analytics, Advertising"
366,Information Services,"Social, Finance, Analytics, Advertising"
367,Information Technology,"Social, Finance, Analytics, Advertising"
368,Infrastructure,"Social, Finance, Analytics, Advertising"
369,Innovation Engineering,"Social, Finance, Analytics, Advertising"
370,Innovation Management,"Social, Finance, Analytics, Advertising"
371,Insurance,"Social, Finance, Analytics, Advertising"
372,Intellectual Asset Management,Others
373,Intellectual Property,Others
374,Intelligent Systems,Others
375,Interest Graph,Others
376,Interface Design,Entertainment
377,Interior Design,Entertainment
378,Internet,"News, Search and Messaging"
379,Internet Infrastructure,"News, Search and Messaging"
380,Internet Marketing,"Social, Finance, Analytics, Advertising"
381,Internet of Things,"Social, Finance, Analytics, Advertising"
382,Internet Radio Market,"News, Search and Messaging"
383,Internet Service Providers,"News, Search and Messaging"
384,Investment Management,"Social, Finance, Analytics, Advertising"
385,iOS,Others
386,iPad,Others
387,iPhone,Others
388,IT and Cybersecurity,Others
389,IT Management,Others
390,Jewelry,Entertainment
391,Journalism,"News, Search and Messaging"
392,K-12 Education,Others
393,Kids,Others
394,Knowledge Management,Others
395,Landscaping,Others
396,Language Learning,Others
397,Lasers,Health
398,Law Enforcement,Others
399,Lead Generation,Others
400,Lead Management,Others
401,Legal,Others
402,Leisure,Entertainment
403,Licensing,Others
404,Life Sciences,Others
405,Lifestyle,Entertainment
406,Lifestyle Businesses,Entertainment
407,Lifestyle Products,Entertainment
408,Lighting,Cleantech / Semiconductors
409,Limousines,Automotive & Sports
410,Linux,Others
411,Local,Others
412,Local Advertising,"Social, Finance, Analytics, Advertising"
413,Local Based Services,Others
414,Local Businesses,Others
415,Local Commerce,Others
416,Local Search,"News, Search and Messaging"
417,Location Based Services,Others
418,Logistics,Others
419,Logistics Company,Others
420,Lotteries,"Social, Finance, Analytics, Advertising"
421,Low Bid Auctions,Others
422,Loyalty Programs,Others
423,M2M,Others
424,Machine Learning,"Social, Finance, Analytics, Advertising"
425,Manufacturing,Manufacturing
426,Maps,"News, Search and Messaging"
427,Market Research,"Social, Finance, Analytics, Advertising"
428,Marketing Automation,"Social, Finance, Analytics, Advertising"
429,Marketplaces,Others
430,Mass Customization,Others
431,Match-Making,Others
432,Material Science,Cleantech / Semiconductors
