country_code,raised_amount_usd,IsOfficialEN
USA,422510842796.0,True
CHN,39835418773.0,False
GBR,20245627416.0,True
IND,14391858718.0,True
CAN,9583332317.0,True
FRA,7259536732.0,False
ISR,6907514579.0,False
DEU,6346959822.0,False
JPN,3363676611.0,False
